Version 2.1,**Do not change column positions **Layer Numbers must be unique,,,,,,,,
Layer Number,Name,Parent Layer,Display Color,Material,Linetype,Print Color,Print Width,,Date Modified
0,0_ARCHITECTURE,,244-204-204,,,0-0-0,,,
101,Facade_Generic,0,197-26-255,ARCHITECTURE_Facade_Generic,,0-0-0,,,180716
102,Glazing_Spandrel,0,0-31-255,ARCHITECTURE_Glazing_Spandrel_Generic,,0-0-0,,,180716
103,Glazing_Vision,0,0-194-255,ARCHITECTURE_Glazing_Vision_Generic,,0-0-0,,,180716
104,Hardware,0,190-190-190,ARCHITECTURE_Hardware_Generic,,0-0-0,,,180716
105,Mullions,0,137-0-255,ARCHITECTURE_Mullions_Generic,,0-0-0,,,180716
106,Railings,0,0-255-223,ARCHITECTURE_Railings_Generic,,0-0-0,,,180716
107,Roof,0,102-0-255,ARCHITECTURE_Roof,,0-0-0,,,180725
,,,,,,,,,
202,Ceiling,0,85-123-225,INTERIOR_Ceiling_Generic,,0-0-0,,,180716
203,Door,0,169-55-55,INTERIOR_Doors_Generic,,0-0-0,,,180716
204,Floor,0,255-88-129,INTERIOR_Floor_Generic,,0-0-0,,,180716
207,Millwork,0,232-172-69,INTERIOR_Millwork_Generic,,0-0-0,,,180716
208,Wall_Generic,0,81-255-200,INTERIOR_Wall_Generic,,0-0-0,,,180716
,,,,,,,,,
301,Structure_Column,0,255-0-255,ARCHITECTURE_Structure,,0-0-0,,,180608
302,Structure_Beam,0,255-141-0,ARCHITECTURE_Structure,,0-0-0,,,180608
303,Structure_Slab,0,255-0-108,ARCHITECTURE_Structure,,0-0-0,,,180608
,,,,,,,,,
401,Stair,0,255-164-210,INTERIOR_Floor_Generic,,0-0-0,,,180716
402,Ramp,0,224-119-146,INTERIOR_Floor_Generic,,0-0-0,,,180716
,,,,,,,,,
901,_Lines,0,1-1-1,,,0-0-0,,,180824
902,_Hidden,0,230-230-230,,,0-0-0,-1,,180608
,,,,,,,,,
1000,1_SITE,,234-153-153,,,0-0-0,,,
1001,Context Buildings_Generic,1000,255-255-255,SITE_Context Buildings_Generic,,255-255-255,,,
1002,Ground_Curb Lines,1000,230-230-230,SITE_Ground_Curb Lines,,230-230-230,,,
1003,Ground_Natural,1000,170-190-120,SITE_Ground_Natural,,170-190-120,,,
1004,Ground_Sidewalk,1000,230-230-230,SITE_Ground_Sidewalk,,230-230-230,,,
1005,Ground_Soil,1000,180-130-100,SITE_Ground_Soil,,180-130-100,,,
1006,Ground_Street,1000,105-105-105,SITE_Ground_Street,,105-105-105,,,
1007,Water_Generic,1000,240-249-254,SITE_Water_Generic,,240-249-254,,,
,,,,,,,,,
1902,_Hidden,1000,230-230-230,,,0-0-0,-1,,180716
,,,,,,,,,
2000,2_ENTOURAGE,,224-102-102,,,,,,
2901,_Hidden,2000,230-230-230,,,0-0-0,-1,,180608
2100,Furniture,2000,247-165-59,INTERIOR_Furniture_Generic,,,,,180807
2200,People,2000,113-197-255,,,,,,180702
2300,Vegetation,2000,105-255-146,,,,,,180702
2400,Vehicles,2000,176-93-255,,,,,,180702
,,,,,,,,,
,,,,,,,,,
3000,3_DESIGN OPTIONS,,204-0-0,,,,,,
3101,180724_OPTION_01,3000,0-0-0,,,,,,180724
,,,,,,,,,
4000,4_BLOCKS,,217-234-211,,,,,,
4101,Window_3'X8',4000,,,,,,,
4102,Window_4'X8',4000,,,,,,,
4103,Door_3'X8',4000,,,,,,,
4901,_Hidden,4000,230-230-230,,,0-0-0,-1,,180608
,,,,,,,,,
5000,5_ZONING,,182-215-168,,,,,,
5101,Property Line,5000,255-0-0,,PCPA_DashDot,0-0-0,0.35,,180824
5102,Setbacks,5000,0-0-255,,PCPA_DashDot,0-0-0,0.18,,180824
5103,Sky Exposure Plane,5000,255-127-0,,,0-0-0,,,180608
,,,,,,,,,
6000,6_CAD IMPORT,,106-168-79,,,,,,
,,,,,,,,,
7000,7_PROGRAM,,201-218-248,,,0-0-0,,,
7001,Commercial_Dark,7000,137-191-223,PCPA PROGRAM_Commercial_Dark,,137-191-223,,,
7002,Commercial_Light,7000,172-209-232,PCPA PROGRAM_Commercial_Light,,172-209-232,,,
7003,Commercial_Medium,7000,151-199-227,PCPA PROGRAM_Commercial_Medium,,151-199-227,,,
7004,Landscape,7000,247-249-242,PCPA PROGRAM_Landscape,,247-249-242,,,
7005,Parking,7000,164-161-145,PCPA PROGRAM_Parking,,164-161-145,,,
7006,Program 01_Dark,7000,222-125-113,PCPA PROGRAM_Program 01_Dark,,222-125-113,,,
7007,Program 01_Light,7000,231-164-156,PCPA PROGRAM_Program 01_Light,,231-164-156,,,
7008,Program 01_Medium,7000,225-140-130,PCPA PROGRAM_Program 01_Medium,,225-140-130,,,
7009,Program 02_Dark,7000,212-190-85,PCPA PROGRAM_Program 02_Dark,,212-190-85,,,
7010,Program 02_Light,7000,255-210-136,PCPA PROGRAM_Program 02_Light,,255-210-136,,,
7011,Program 02_Medium,7000,218-199-105,PCPA PROGRAM_Program 02_Medium,,218-199-105,,,
7012,Program 03_Dark,7000,156-121-94,PCPA PROGRAM_Program 03_Dark,,156-121-94,,,
7013,Program 03_Light,7000,185-161-143,PCPA PROGRAM_Program 03_Light,,185-161-143,,,
7014,Program 03_Medium,7000,168-137-114,PCPA PROGRAM_Program 03_Medium,,168-137-114,,,
7015,Public,7000,252-246-218,PCPA PROGRAM_Public,,252-246-218,,,
7016,Residential_Dark,7000,172-137-173,PCPA PROGRAM_Residential_Dark,,172-137-173,,,
7017,Residential_Light,7000,197-173-198,PCPA PROGRAM_Residential_Light,,197-173-198,,,
7018,Residential_Medium,7000,182-151-182,PCPA PROGRAM_Residential_Medium,,182-151-182,,,
7019,Retail_Dark,7000,255-212-119,PCPA PROGRAM_Retail_Dark,,255-212-119,,,
7020,Retail_Medium,7000,254-217-135,PCPA PROGRAM_Retail_Medium,,254-217-135,,,
7021,Roof,7000,240-240-240,PCPA PROGRAM_Roof,,240-240-240,,,
7022,Service_Dark,7000,210-207-199,PCPA PROGRAM_Service_Dark,,210-207-199,,,
7023,Service_Medium,7000,215-214-207,PCPA PROGRAM_Service_Medium,,215-214-207,,,
7024,Soil,7000,99-99-99,PCPA PROGRAM_Soil,,99-99-99,,,
7025,Terrace,7000,250-250-245,PCPA PROGRAM_Terrace,,250-250-245,,,
7026,Trees,7000,168-191-121,PCPA PROGRAM_Trees,,168-191-121,,,
7027,Water,7000,240-249-254,PCPA PROGRAM_Water,,240-249-254,,,
,,,,,,,,,
8000,8_DRAWING,,109-158-235,,,,,,
8101,Dimensions,8000,145-82-165,,,0-0-0,,,180716
8102,Leaders,8000,145-82-165,,,0-0-0,,,180716
8103,Text,8000,145-82-165,,,0-0-0,,,180716
8104,Hatch,8000,,,,0-0-0,,,
8105,Layout,8000,108-108-108,,,0-0-0,,,180608
8106,Viewport,8000,220-220-220,,,0-0-0,-1,,180608
8107,Symbol,8000,124-0-165,,,0-0-0,,,180709
8108,Clipping Plane,8000,255-68-0,,,0-0-0,-1,,180710
8201,PCP-01,8000,255-255-255,,,0-0-0,0.889,,180608
8202,PCP-02,8000,255-0-255,,,0-0-0,0.635,,180608
8203,PCP-03,8000,0-0-255,,,0-0-0,0.3556,,180608
8204,PCP-04,8000,0-255-255,,,0-0-0,0.1778,,180608
8205,PCP-05,8000,0-255-0,,,0-0-0,0.127,,180608
8206,PCP-06,8000,255-255-0,,,0-0-0,0.0762,,180608
8207,PCP-07,8000,255-0-0,,,0-0-0,0.0508,,180608
8208,PCP-08,8000,128-128-128,,,0-0-0,0.508,,180608
8209,PCP-09,8000,192-192-192,,,0-0-0,0.508,,180608
,,,,,,,,,
8901,_Hidden,8000,230-230-230,,,0-0-0,-1,,180611
,,,,,,,,,
9000,9_RENDER,,17-85-204,,,,,,
9101,Lights,9000,,,,,,,
9102,Camera Path,9000,,,,,,,
9103,Target Path,9000,,,,,,,
,,,,,,,,,
9901,_Hidden,9000,230-230-230,,,0-0-0,-1,,180611
