Drawing-Add Area Tag,,,,,,,,,,
Date,User,Path,File,Layer,Type,Points,Anno Style,Area,Dec Places,Succeeded
2018-07-18_16:27:11.97,wmrjzeeuzjzesinndisi,C:\Users\Tim\Desktop\,Different File.3dm,Rooms,curve,"[(-36.245103339771298, -76.790490543782568, 0.0), (106.52748596578475, -76.790490543782568, 0.0), (106.52748596578475, 29.466882854737833, 0.0), (-36.245103339771298, 29.466882854737833, 0.0), (-36.245103339771298, -76.790490543782568, 0.0)]",Default,105.351669,0,TRUE
2018-07-18_16:27:12.8,wmrjzeeuzjzesinndisi,C:\Users\Tim\Desktop\,Different File.3dm,Rooms,curve,"[(47.080273764830025, 52.32577387567423, 0.0), (93.352802819447959, 52.32577387567423, 0.0), (93.352802819447959, 97.089416113293765, 0.0), (47.080273764830025, 97.089416113293765, 0.0), (47.080273764830025, 52.32577387567423, 0.0)]",Default,14.38421483,0,TRUE
2018-07-18_16:27:12.8,wmrjzeeuzjzesinndisi,C:\Users\Tim\Desktop\,Different File.3dm,8_DRAWING::Dimensions,curve,"[(126.35932851363783, 103.74639064293592, 0.0), (126.35932851363783, 56.970899315985086, 0.0), (166.59631030026219, 56.970899315985086, 0.0)]",Default,0,0,FALSE
2018-07-18_16:37:53.24,wmrjzeeuzjzesinndisi,C:\Users\Tim\Desktop\,Different File.3dm,8_DRAWING::Dimensions,curve,"[(-129.56166241681979, 229.63215675004864, 0.0), (-96.277732601878085, 140.73254324753981, 0.0), (-34.464720088414857, 124.2775667098158, 0.0), (-1.1807902734731215, 166.16296153311322, 0.0), (-43.97441432125531, 187.3193599387584, 0.0), (-86.768038369037612, 208.47575834440352, 0.0), (-129.56166241681979, 229.63215675004864, 0.0)]",Default,52.46966698,0,TRUE
2018-07-18_16:39:32.2,wmrjzeeuzjzesinndisi,C:\Users\Tim\Desktop\,Different File.3dm,8_DRAWING::Dimensions,curve,"[(-129.56166241681979, 229.63215675004864, 0.0), (-96.277732601878085, 140.73254324753981, 0.0), (-34.464720088414857, 124.2775667098158, 0.0), (-1.1807902734731215, 166.16296153311322, 0.0), (-43.97441432125531, 187.3193599387584, 0.0), (-86.768038369037612, 208.47575834440352, 0.0), (-129.56166241681979, 229.63215675004864, 0.0)]",Default,43.18491109,0,TRUE
2018-07-19_09:46:21.8,wanrsqjwdptgkljcpwqu,,,0_ARCHITECTURE,curve,"[(59.076824492882515, 75.098152441818229, 0.0), (154.52452738538423, 75.098152441818229, 0.0), (154.52452738538423, 138.96917167063515, 0.0), (59.076824492882515, 138.96917167063515, 0.0), (59.076824492882515, 75.098152441818229, 0.0)]",PCPA_1-8,42.3357088,0,TRUE
2018-07-20_17:37:42.98,wanrsqjwdptgkljcpwqu,,,0_ARCHITECTURE,curve,"[(3422.2579996506502, -5220.3425771339298, 0.0), (4330.9478025872177, -5220.3425771339298, 0.0), (4330.9478025872177, -1064.0773179236903, 0.0), (3422.2579996506502, -1064.0773179236903, 0.0), (3422.2579996506502, -5220.3425771339298, 0.0)]",PCPA_1-8,26227.47125,0,TRUE
2018-07-23_14:04:59.90,wanrsqjwdptgkljcpwqu,,,0_ARCHITECTURE,curve,"[(679.13920392234809, -359.97174901084679, 0.0), (458.48771125712665, -359.97174901084679, 0.0), (458.48771125712665, -489.88610307608906, 0.0), (204.1668903104437, -489.88610307608906, 0.0), (204.1668903104437, -608.2838170973555, 0.0), (865.35665060613849, -608.2838170973555, 0.0), (679.13920392234809, -359.97174901084679, 0.0)]",PCPA_10,750.1489719,0,TRUE
2018-07-23_14:04:59.94,wanrsqjwdptgkljcpwqu,,,0_ARCHITECTURE,curve,"[(1597.9041038391222, -665.47821838759387, 0.0), (1377.2526111739007, -665.47821838759387, 0.0), (1377.2526111739007, -795.39257245283613, 0.0), (1122.9317902272178, -795.39257245283613, 0.0), (1122.9317902272178, -913.79028647410257, 0.0), (1784.1215505229125, -913.79028647410257, 259.49511698290144), (1597.9041038391222, -665.47821838759387, 0.0)]",PCPA_10,0,0,FALSE
2018-07-24_12:50:52.25,wanrsqjwdptgkljcpwqu,,,0_ARCHITECTURE,curve,"[(231.86100848906722, 760.17563821336262, 0.0), (231.86100848906722, 374.20309288828867, 0.0), (370.29833892409079, 512.64042332330428, 0.0), (593.8138216065563, 289.12494064084603, 0.0), (593.8138216065563, 1334.0103788728784, 0.0), (231.86100848906722, 760.17563821336262, 0.0)]",PCPA_10,1583.393399,0,TRUE
2018-07-24_12:51:03.14,wanrsqjwdptgkljcpwqu,,,0_ARCHITECTURE,curve,"[(1191.5594758375271, 1073.8163453719196, 0.0), (1191.5594758375271, 374.20309288828867, 0.0), (1329.9968062725507, 512.64042332330428, 0.0), (1553.5122889550162, 289.12494064084603, 0.0), (1553.5122889550162, 1334.0103788728784, 0.0), (1191.5594758375271, 1073.8163453719196, 0.0)]",PCPA_10,1977.570955,2,TRUE
2018-07-24_12:51:48.30,wanrsqjwdptgkljcpwqu,,,0_ARCHITECTURE,curve,"[(1771.1294162733777, 2126.6614257463266, 0.0), (1679.7192866539585, 2347.3450004118108, 0.0), (1459.0357119884738, 2438.7551300312307, 0.0), (1238.3521373229892, 2347.3450004118113, 0.0), (1146.94200770357, 2126.6614257463266, 0.0), (1238.3521373229894, 1905.9778510808419, 0.0), (1459.0357119884738, 1814.5677214614227, 0.0), (1679.7192866539588, 1905.9778510808419, 0.0), (1771.1294162733777, 2126.6614257463266, 0.0)]",PCPA_10,2124.992475,1,TRUE
2018-07-24_12:51:57.93,wanrsqjwdptgkljcpwqu,,,0_ARCHITECTURE,curve,"[(1771.1294162733777, 2126.6614257463266, 0.0), (1679.7192866539585, 2347.3450004118108, 0.0), (1459.0357119884738, 2438.7551300312307, 0.0), (1238.3521373229892, 2347.3450004118113, 0.0), (1146.94200770357, 2126.6614257463266, 0.0), (1238.3521373229894, 1905.9778510808419, 0.0), (1459.0357119884738, 1814.5677214614227, 0.0), (1679.7192866539588, 1905.9778510808419, 0.0), (1771.1294162733777, 2126.6614257463266, 0.0)]",PCPA_10,2124.992475,3,TRUE
2018-07-24_12:51:57.98,wanrsqjwdptgkljcpwqu,,,0_ARCHITECTURE,curve,"[(2114.4169096186533, 1422.4441660501861, 0.0), (2350.0194928846381, 1422.4441660501861, 0.0), (2350.0194928846381, 1799.8476764193579, 0.0), (2114.4169096186533, 1799.8476764193579, 0.0), (2114.4169096186533, 1422.4441660501861, 0.0)]",PCPA_10,617.4808471,3,TRUE
2018-07-24_12:51:58.2,wanrsqjwdptgkljcpwqu,,,0_ARCHITECTURE,curve,"[(2517.7943735642802, 1608.0741287139658, 0.0), (2776.4043939774474, 1608.0741287139658, 0.0), (2776.4043939774474, 1894.378216477832, 0.0), (2517.7943735642802, 1894.378216477832, 0.0), (2517.7943735642802, 1608.0741287139658, 0.0)]",PCPA_10,514.1743471,3,TRUE
2018-07-24_12:52:39.,wanrsqjwdptgkljcpwqu,,,7_PROGRAM::Commercial_Dark,curve,"[(2114.4169096186533, 2971.9620561877937, 0.0), (2350.0194928846381, 2971.9620561877937, 0.0), (2350.0194928846381, 3349.3655665569659, 0.0), (2114.4169096186533, 3349.3655665569659, 0.0), (2114.4169096186533, 2971.9620561877937, 0.0)]",PCPA_10,617.4808471,2,TRUE
2018-07-24_12:52:39.4,wanrsqjwdptgkljcpwqu,,,7_PROGRAM::Commercial_Dark,curve,"[(2517.7943735642802, 3157.5920188515738, 0.0), (2776.4043939774474, 3157.5920188515738, 0.0), (2776.4043939774474, 3443.8961066154397, 0.0), (2517.7943735642802, 3443.8961066154397, 0.0), (2517.7943735642802, 3157.5920188515738, 0.0)]",PCPA_10,514.1743471,2,TRUE
2018-07-24_12:53:14.20,wanrsqjwdptgkljcpwqu,,,7_PROGRAM::Commercial_Dark,curve,"[(2517.7943735642802, 3768.1710589208828, 0.0), (2647.0993837708638, 3768.1710589208828, 0.0), (2647.0993837708638, 3911.3231028028158, 318.04351862717738), (2517.7943735642802, 3911.3231028028158, 0.0), (2517.7943735642802, 3768.1710589208828, 0.0)]",PCPA_10,0,0,FALSE
2018-07-25_10:27:48.67,wanrsqjwdptgkljcpwqu,,,0_ARCHITECTURE,curve,"[(1171.4050857313214, -1422.8098139415115, 0.0), (886.51839027734241, -1707.6965093954932, 0.0), (1137.2041333243251, -1958.3822524425341, 0.0), (1019.4573466084839, -2076.1290391583461, 0.0), (1212.1274641981581, -2268.7991567479912, 0.0), (1649.0975385828642, -1831.8290823630523, 0.0), (1171.4050857313214, -1422.8098139415115, 0.0)]",PCPA_10,2175.0574720231125,0,True
2018-07-26_09:30:33.46,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(2068.6349145838076, 3405.2919899145154, 0.0), (2032.8224150336823, 3405.2919899145154, 0.0), (2032.8224150336823, 3328.7919899145318, 0.0), (2068.6349145838076, 3328.7919899145318, 0.0), (2068.6349145838076, 3405.2919899145154, 0.0)]",PCPA_10,19.025390385999636,0,True
2018-07-26_09:30:33.71,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1940.6349150336807, 3405.2919899145154, 0.0), (1868.822415843104, 3405.2919899145154, 0.0), (1868.822415843104, 3328.7919899145318, 0.0), (1940.6349150336807, 3328.7919899145318, 0.0), (1940.6349150336807, 3405.2919899145154, 0.0)]",PCPA_10,38.150390194985235,0,True
2018-07-26_09:30:33.90,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1758.8224158431019, 3328.7919899145318, 0.0), (1758.8224158431019, 3405.2919899145154, 0.0), (1703.0099158431037, 3405.2919899145154, 0.0), (1703.0099158431037, 3358.2385937184717, 0.0), (1703.0099158431037, 3328.7919899145318, 0.0), (1758.8224158431019, 3328.7919899145318, 0.0)]",PCPA_10,29.650390624992415,0,True
2018-07-26_09:30:34.5,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1560.6345531387444, 3405.2919899145154, 0.0), (1536.8202146700276, 3405.2919899145154, 0.0), (1536.8202146700276, 3328.7919899145318, 0.0), (1560.6345531387444, 3328.7919899145318, 0.0), (1560.6345531387444, 3405.2919899145154, 0.0)]",PCPA_10,12.651367311502982,0,True
2018-07-26_09:30:34.19,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(2068.6349145838076, 3448.7919899145131, 0.0), (2068.6349145838076, 3525.2919899144968, 0.0), (2032.8224150336823, 3525.2919899144968, 0.0), (2032.8224150336823, 3451.5809395524752, 0.0), (2032.8224150336823, 3448.7919899145131, 0.0), (2068.6349145838076, 3448.7919899145131, 0.0)]",PCPA_10,19.025390385999795,0,True
2018-07-26_09:30:34.35,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1940.6349150336807, 3448.7919899145131, 0.0), (1940.6349150336807, 3525.2919899144968, 0.0), (1868.822415843104, 3525.2919899144968, 0.0), (1868.822415843104, 3448.7919899145131, 0.0), (1916.6819377055801, 3448.7919899145131, 0.0), (1940.6349150336807, 3448.7919899145131, 0.0)]",PCPA_10,38.150390194985604,0,True
2018-07-26_09:30:34.50,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1758.8224158431019, 3448.7919899145131, 0.0), (1758.8224158431019, 3525.2919899144968, 0.0), (1703.0099158431037, 3525.2919899144968, 0.0), (1703.0099158431037, 3448.7919899145131, 0.0), (1747.4154029795961, 3448.7919899145131, 0.0), (1758.8224158431019, 3448.7919899145131, 0.0)]",PCPA_10,29.650390624992522,0,True
2018-07-26_09:30:34.62,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1560.6345531387444, 3448.7919899145131, 0.0), (1560.6345531387444, 3525.2919899144968, 0.0), (1536.8202146700276, 3525.2919899144968, 0.0), (1536.8202146700276, 3451.5809395524752, 0.0), (1536.8202146700276, 3448.7919899145131, 0.0), (1560.6345531387444, 3448.7919899145131, 0.0)]",PCPA_10,12.651367311503149,0,True
2018-07-26_09:30:34.74,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(2068.6349145838076, 3645.2919899144831, 0.0), (2032.8224150336823, 3645.2919899144831, 0.0), (2032.8224150336823, 3568.7919899144995, 0.0), (2068.6349145838076, 3568.7919899144995, 0.0), (2068.6349145838076, 3645.2919899144831, 0.0)]",PCPA_10,19.02539038599982,0,True
2018-07-26_09:30:34.92,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1940.6349150336807, 3645.2919899144831, 0.0), (1868.822415843104, 3645.2919899144831, 0.0), (1868.822415843104, 3568.7919899144995, 0.0), (1940.6349150336807, 3568.7919899144995, 0.0), (1940.6349150336807, 3645.2919899144831, 0.0)]",PCPA_10,38.150390194985604,0,True
2018-07-26_09:30:35.6,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1758.8224158431019, 3568.7919899144995, 0.0), (1758.8224158431019, 3645.2919899144831, 0.0), (1703.0099158431037, 3645.2919899144831, 0.0), (1703.0099158431037, 3607.1515159424807, 0.0), (1703.0099158431037, 3568.7919899144995, 0.0), (1758.8224158431019, 3568.7919899144995, 0.0)]",PCPA_10,29.650390624992387,0,True
2018-07-26_09:30:35.20,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1560.6345531387444, 3645.2919899144831, 0.0), (1536.8202146700276, 3645.2919899144831, 0.0), (1536.8202146700276, 3568.7919899144995, 0.0), (1560.6345531387444, 3568.7919899144995, 0.0), (1560.6345531387444, 3645.2919899144831, 0.0)]",PCPA_10,12.651367311503105,0,True
