Layer Number,Name,Parent Layer,Display Color,Material,Linetype,Print Color,Print Width
0,+ GEOMETRY,,0-0-0,,,0-0-0,
100,OBJECTS_ARCHITECTURE,0,0-0-0,,,0-0-0,0.18
101,0_OBJECT_MATERIAL,100,0-0-0,,,0-0-0,
102,2D_Lines,100,0-0-0,,,0-0-0,
103,Facade_Generic,100,255-255-255,ARCHITECTURE_Facade_Generic,,255-255-255,
104,Glazing_Spandrel_Generic,100,220-240-255,ARCHITECTURE_Glazing_Spandrel_Generic,,220-240-255,0.35
105,Glazing_Vision_Generic,100,220-240-255,ARCHITECTURE_Glazing_Vision_Generic,,220-240-255,
106,Hardware_Generic,100,190-190-190,ARCHITECTURE_Hardware_Generic,,190-190-190,
107,Mullions_Generic,100,105-105-105,ARCHITECTURE_Mullions_Generic,,105-105-105,0.5
108,Railings_Generic,100,0-0-0,ARCHITECTURE_Railings_Generic,,0-0-0,
109,Slabs_Generic,100,190-190-190,ARCHITECTURE_Slabs_Generic,,190-190-190,
,,,,,,,
200,OBJECTS_INTERIOR,0,0-0-0,,,0-0-0,
201,0_OBJECT_MATERIAL,200,0-0-0,,,0-0-0,
202,Ceiling_Generic,200,255-255-255,INTERIOR_Ceiling_Generic,,255-255-255,
203,Doors_Generic,200,230-230-230,INTERIOR_Doors_Generic,,230-230-230,
204,Floor_Generic,200,230-230-230,INTERIOR_Floor_Generic,,230-230-230,
205,Furniture_Generic,200,0-0-0,INTERIOR_Furniture_Generic,,0-0-0,
206,Hardware_Generic,200,190-190-190,INTERIOR_Hardware_Generic,,190-190-190,
207,Millwork_Generic,200,255-255-255,INTERIOR_Millwork_Generic,,255-255-255,
208,Wall_Generic,200,255-255-255,INTERIOR_Wall_Generic,,255-255-255,
300,OBJECTS_SITE,0,0-0-0,,,0-0-0,
301,0_OBJECT_MATERIAL,300,0-0-0,,,0-0-0,
302,Context Buildings_Generic,300,255-255-255,SITE_Context Buildings_Generic,,255-255-255,
303,Ground_Curb Lines,300,230-230-230,SITE_Ground_Curb Lines,,230-230-230,
