Layer Number,Name,Parent Layer,Display Color,Material,Linetype,Print Color,Print Width,
0,+ GEOMETRY,,0-0-0,-1,,0-0-0,,
100,OBJECTS_ARCHITECTURE,0,0-0-0,-1,DashDot,0-0-0,0.18,
101,0_OBJECT_MATERIAL,100,0-0-0,-1,Hidden,0-0-0,,
102,2D_Lines,100,0-0-0,-1,Dashed,0-0-0,,
103,Facade_Generic,100,255-255-255,5,Dots,255-255-255,,
104,Glazing_Spandrel_Generic,100,220-240-255,2,Continuous,220-240-255,0.35,
105,Glazing_Vision_Generic,100,220-240-255,1,,220-240-255,,
106,Hardware_Generic,100,190-190-190,14,,190-190-190,,
107,Mullions_Generic,100,105-105-105,3,,105-105-105,0.5,
108,Railings_Generic,100,0-0-0,10,,0-0-0,,
109,Slabs_Generic,100,190-190-190,4,,190-190-190,,
,,,,,,,,
200,OBJECTS_INTERIOR,0,0-0-0,-1,,0-0-0,,
201,0_OBJECT_MATERIAL,200,0-0-0,-1,,0-0-0,,
202,Ceiling_Generic,200,255-255-255,-1,,255-255-255,,
203,Doors_Generic,200,230-230-230,12,,230-230-230,,
204,Floor_Generic,200,230-230-230,11,,230-230-230,,
205,Furniture_Generic,200,0-0-0,-1,,0-0-0,,
206,Hardware_Generic,200,190-190-190,13,,190-190-190,,
207,Millwork_Generic,200,255-255-255,-1,,255-255-255,,
208,Wall_Generic,200,255-255-255,-1,,255-255-255,,
300,OBJECTS_SITE,0,0-0-0,-1,,0-0-0,,
301,0_OBJECT_MATERIAL,300,0-0-0,-1,,0-0-0,,
302,Context Buildings_Generic,300,255-255-255,-1,,255-255-255,,
303,Ground_Curb Lines,300,230-230-230,-1,,230-230-230,,
304,Ground_Natural,300,170-190-120,6,,170-190-120,,
305,Ground_Sidewalk,300,230-230-230,7,,230-230-230,,
306,Ground_Soil,300,180-130-100,15,,180-130-100,,
307,Ground_Street,300,105-105-105,9,,105-105-105,,
308,Planter_Terracotta,300,230-180-150,16,,230-180-150,,
309,Water_Generic,300,240-249-254,8,,240-249-254,,
400,PCPA PROGRAM,0,0-0-0,-1,,0-0-0,,
401,Generic,400,0-0-0,-1,,0-0-0,,
402,0_PROGRAM,400,0-0-0,-1,,0-0-0,,
403,Commercial_Dark,400,137-191-223,20,,137-191-223,,
404,Commercial_Light,400,172-209-232,21,,172-209-232,,
405,Commercial_Medium,400,151-199-227,22,,151-199-227,,
406,Landscape,400,247-249-242,23,,247-249-242,,
407,Parking,400,164-161-145,24,,164-161-145,,
408,Program 01_Dark,400,222-125-113,25,,222-125-113,,
409,Program 01_Light,400,231-164-156,26,,231-164-156,,
410,Program 01_Medium,400,225-140-130,27,,225-140-130,,
411,Program 02_Dark,400,212-190-85,28,,212-190-85,,
412,Program 02_Light,400,255-210-136,29,,255-210-136,,
413,Program 02_Medium,400,218-199-105,30,,218-199-105,,
414,Program 03_Dark,400,156-121-94,31,,156-121-94,,
415,Program 03_Light,400,185-161-143,32,,185-161-143,,
416,Program 03_Medium,400,168-137-114,33,,168-137-114,,
417,Public,400,252-246-218,34,,252-246-218,,
418,Residential_Dark,400,172-137-173,35,,172-137-173,,
419,Residential_Light,400,197-173-198,36,,197-173-198,,
420,Residential_Medium,400,182-151-182,37,,182-151-182,,
421,Retail_Dark,400,255-212-119,38,,255-212-119,,
422,Retail_Medium,400,254-217-135,39,,254-217-135,,
423,Roof,400,240-240-240,40,,240-240-240,,
424,Service_Dark,400,210-207-199,41,,210-207-199,,
425,Service_Medium,400,215-214-207,42,,215-214-207,,
426,Soil,400,99-99-99,43,,99-99-99,,
427,Terrace,400,250-250-245,44,,250-250-245,,
428,Trees,400,168-191-121,45,,168-191-121,,
429,Water,400,240-249-254,46,,240-249-254,,
,,,,,,,,
1000,ANIMATION,,,,,,,
1001,0_ANIMATION,1000,,,,,,
1002,Camera Path,1000,,,,,,
1003,Target Path,1000,,,,,,
,,,,,,,,
2000,ANNOTATION,,,,,,,
2001,0_ANNOTATION,2000,,,,,,
2002,Dimensions,2000,,,,,,
2003,Leaders,2000,,,,,,
2004,Text,2000,,,,,,
,,,,,,,,
3000,BLOCKS,,,,,,,
3100,ARCHITECTURE,3000,,,,,,
3101,0_BLOCK NAME,3100,,,,,,
3102,Window_3'X8',3100,,,,,,
3103,Window_4'X8',3100,,,,,,
3200,INTERIOR,3000,,,,,,
3201,0_BLOCK NAME,3200,,,,,,
3202,Door_3'X8',3200,,,,,,
3300,SITE,3000,,,,,,
3301,0_BLOCK NAME,3300,,,,,,
3302,Planter_2',3300,,,,,,
,,,,,,,,
4000,CAD IMPORT,,,,,,,
4001,0_CAD LAYER,4000,,,,,,
