Layer Number,Name,Parent Layer,Display Color,Material,Linetype,Print Color,Print Width
0,0_ARCHITECTURE,,0-0-0,-1,,0-0-0,
101,2D_Lines,0,0-0-0,-1,Dashed,0-0-0,
102,Facade_Generic,0,255-255-255,5,Dots,255-255-255,
103,Glazing_Spandrel_Generic,0,220-240-255,2,Continuous,220-240-255,0.35
104,Glazing_Vision_Generic,0,220-240-255,1,,220-240-255,
105,Hardware_Generic,0,190-190-190,14,,190-190-190,
106,Mullions_Generic,0,105-105-105,3,,105-105-105,0.5
107,Railings_Generic,0,0-0-0,10,,0-0-0,
108,Slabs_Generic,0,190-190-190,4,,190-190-190,
,,,,,,,
202,Ceiling_Generic,0,255-255-255,-1,,255-255-255,
203,Doors_Generic,0,230-230-230,12,,230-230-230,
204,Floor_Generic,0,230-230-230,11,,230-230-230,
205,Furniture_Generic,0,0-0-0,-1,,0-0-0,
207,Millwork_Generic,0,255-255-255,-1,,255-255-255,
208,Wall_Generic,0,255-255-255,-1,,255-255-255,
,,,,,,,
1000,1_PROGRAM,,0-0-0,-1,,0-0-0,
1001,Commercial_Dark,1000,137-191-223,20,,137-191-223,
1002,Commercial_Light,1000,172-209-232,21,,172-209-232,
1003,Commercial_Medium,1000,151-199-227,22,,151-199-227,
1004,Landscape,1000,247-249-242,23,,247-249-242,
1005,Parking,1000,164-161-145,24,,164-161-145,
1006,Program 01_Dark,1000,222-125-113,25,,222-125-113,
1007,Program 01_Light,1000,231-164-156,26,,231-164-156,
1008,Program 01_Medium,1000,225-140-130,27,,225-140-130,
1009,Program 02_Dark,1000,212-190-85,28,,212-190-85,
1010,Program 02_Light,1000,255-210-136,29,,255-210-136,
1011,Program 02_Medium,1000,218-199-105,30,,218-199-105,
1012,Program 03_Dark,1000,156-121-94,31,,156-121-94,
1013,Program 03_Light,1000,185-161-143,32,,185-161-143,
1014,Program 03_Medium,1000,168-137-114,33,,168-137-114,
1015,Public,1000,252-246-218,34,,252-246-218,
1016,Residential_Dark,1000,172-137-173,35,,172-137-173,
1017,Residential_Light,1000,197-173-198,36,,197-173-198,
1018,Residential_Medium,1000,182-151-182,37,,182-151-182,
1019,Retail_Dark,1000,255-212-119,38,,255-212-119,
1020,Retail_Medium,1000,254-217-135,39,,254-217-135,
1021,Roof,1000,240-240-240,40,,240-240-240,
1022,Service_Dark,1000,210-207-199,41,,210-207-199,
1023,Service_Medium,1000,215-214-207,42,,215-214-207,
1024,Soil,1000,99-99-99,43,,99-99-99,
1025,Terrace,1000,250-250-245,44,,250-250-245,
1026,Trees,1000,168-191-121,45,,168-191-121,
1027,Water,1000,240-249-254,46,,240-249-254,
,,,,,,,
2000,2_SITE,0,0-0-0,-1,,0-0-0,
2001,Context Buildings_Generic,2000,255-255-255,-1,,255-255-255,
2002,Ground_Curb Lines,2000,230-230-230,-1,,230-230-230,
2003,Ground_Natural,2000,170-190-120,6,,170-190-120,
2004,Ground_Sidewalk,2000,230-230-230,7,,230-230-230,
2005,Ground_Soil,2000,180-130-100,15,,180-130-100,
2006,Ground_Street,2000,105-105-105,9,,105-105-105,
2007,Planter_Terracotta,2000,230-180-150,16,,230-180-150,
2008,Water_Generic,2000,240-249-254,8,,240-249-254,
,,,,,,,
,,,,,,,
3000,3_DESIGN OPTIONS,,,,,,
3001,Massing Example,3000,,,,,
3002,Option 01,3000,,,,,
3003,Option 02,3000,,,,,
,,,,,,,
4000,4_BLOCKS,,,,,,
4100,ARCHITECTURE,4000,,,,,
4101,0_BLOCK NAME,4100,,,,,
4102,Window_3'X8',4100,,,,,
4103,Window_4'X8',4100,,,,,
4200,INTERIOR,4000,,,,,
4201,0_BLOCK NAME,4200,,,,,
4202,Door_3'X8',4200,,,,,
4300,SITE,4000,,,,,
4301,0_BLOCK NAME,4300,,,,,
4302,Planter_2',4300,,,,,
,,,,,,,
5000,5_ZONING,,,,,,
5101,Property Line,5000,,,,,
5102,Setbacks,5000,,,,,
5103,Sky Exposure Plane,5000,,,,,
,,,,,,,
6000,6_CAD IMPORT,,,,,,
,,,,,,,
,,,,,,,
7000,7_ENTOURAGE,,,,,,
7100,Furniture,7000,,,,,
7101,0_FURNITURE,7100,,,,,
7200,People,7000,,,,,
7201,0_PEOPLE,7200,,,,,
7202,Gradient_Woman 4A,7200,255-255-255,,,,
7300,Plantings,7000,,,,,
7301,0_PLANTING,7300,,,,,
7302,Shrub_Fern 1,7300,179-200-137,,,,
7400,Vehicles,7000,,,,,
7401,0_VEHICLE,7400,,,,,
,,,,,,,
8000,8_DRAWING,,,,,,
8101,Dimensions,8000,,,,,
8102,Leaders,8000,,,,,
8103,Text,8000,,,,,
8104,Hatch,8000,,,,,
,,,,,,,
9000,9_RENDER,,,,,,
9101,Lights,9000,,,,,
9102,Camera Path,9000,,,,,
9103,Target Path,9000,,,,,
