Architecture-Stair,,,,,
Date,User,Width,Height,Path,Result
2018-08-03_18:33:46.12,wanrsqjwdptgkljcpwqu,42,120,"[(84.098803252888047, 508.17035247603781, 0.0), (716.54018963537237, 508.17035247603781, 0.0), (1189.4416393610882, 35.268902750278357, 0.0)]",TRUE
2018-08-06_11:06:28.74,fsgxpmwwjxogdnviwnfc,42.0,120.0,"[(109.96620881247378, 23.883270056100613, 0.0), (109.96620881247378, 114.8949641496483, 0.0), (209.96545120246273, 214.89420653963666, 0.0)]",True
2018-08-06_12:38:09.30,fsgxpmwwjxogdnviwnfc,42.0,120.0,"[(109.96620881247378, 23.883270056100613, 0.0), (109.96620881247378, 114.8949641496483, 0.0), (209.96545120246273, 214.89420653963666, 0.0)]",True
2018-08-06_12:38:36.3,fsgxpmwwjxogdnviwnfc,42.0,120.0,"[(109.96620881247378, 23.883270056100613, 0.0), (109.96620881247378, 114.8949641496483, 0.0), (144.50737778287166, 149.43613312004933, 0.0)]",True
2018-08-06_16:04:57.79,vvjyaznzzoocrtsgsspp,1800.0,5000.0,"[(17.781563975954612, -7.5745541427907881, 0.0), (39.553908828952459, 100.39234720009603, 0.0), (69.77245182588203, 114.41886130488876, 0.0)]",True
2018-08-06_16:09:20.47,vvjyaznzzoocrtsgsspp,1800.0,5000.0,"[(8464834.1398925781, 3919937.2708892822, 0.0), (8464834.1398925781, 515123.65185546875, 0.0), (8464834.1398925781, -2889689.9671783447, 5098200.8327950034)]",True
2018-08-06_16:09:59.77,vvjyaznzzoocrtsgsspp,1800.0,5000.0,"[(8464834.1398925781, 515123.65185546875, 0.0), (8464834.1398925781, -2889689.9671783447, 5098200.8327950034)]",True
2018-08-07_15:15:22.12,wanrsqjwdptgkljcpwqu,42.0,120.0,"[(520.94086987396759, 198.18244015679284, 0.0), (785.34659686169471, 198.18244015679284, 0.0), (1012.0801194600645, -28.551082441576, 0.0)]",True
2018-08-08_09:44:34.48,wanrsqjwdptgkljcpwqu,42.0,120.0,"[(686.17910946084555, 1390.9790331565662, 0.0), (1035.0997934964835, 1390.9790331565662, 0.0), (1035.0997934964835, 955.3319920101203, 0.0), (357.57324762200005, 955.3319920101203, 0.0), (357.57324762200005, 1213.2508179419424, 0.0)]",True
2018-08-08_09:44:44.95,wanrsqjwdptgkljcpwqu,42.0,60.0,"[(1376.9125280726989, 994.55654962775395, 0.0), (1497.827467057301, 873.64161064315704, 0.0)]",True
2018-08-08_12:06:52.42,vvjyaznzzoocrtsgsspp,1800.0,5000.0,"[(5477.4246868385962, 1299133.755796487, 0.0), (38905.788942188519, 1373328.3861372194, 0.0)]",True
