IO-Import CAD
Date,User
2018-08-09_17:04:55.8,wanrsqjwdptgkljcpwqu,False
2018-08-09_17:05:33.65,wanrsqjwdptgkljcpwqu,False
2018-08-09_17:05:58.54,wanrsqjwdptgkljcpwqu,False
2018-08-09_17:08:09.10,wanrsqjwdptgkljcpwqu,False
2018-08-09_17:08:25.68,wanrsqjwdptgkljcpwqu,False
2018-08-09_17:09:34.65,wanrsqjwdptgkljcpwqu,False
2018-08-09_17:10:11.57,wanrsqjwdptgkljcpwqu,True
2018-08-09_17:10:21.69,wanrsqjwdptgkljcpwqu,True
2018-08-09_17:10:36.33,wanrsqjwdptgkljcpwqu,True
2018-08-09_17:10:51.2,wanrsqjwdptgkljcpwqu,True
2018-08-09_17:12:55.58,wanrsqjwdptgkljcpwqu,False
2018-08-09_17:16:37.74,wanrsqjwdptgkljcpwqu,False
2018-08-09_17:23:58.17,wanrsqjwdptgkljcpwqu,True
2018-08-09_17:24:10.22,wanrsqjwdptgkljcpwqu,True
2018-08-09_17:32:23.55,wanrsqjwdptgkljcpwqu,True
