Blocks-Iterate,,,,,,
Date,Time,User,Version,Parent Option,Child Option,Succeeded
11/1/2018,18:06:27,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 m,181101_OPTION_13 n,TRUE
2018-11-01,18:08:52,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 n,181101_OPTION_13 o,True
2018-11-01,18:14:45,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 o,181101_OPTION_13 p,True
2018-11-01,18:15:08,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 p,181101_OPTION_13 q,True
2018-11-01,18:15:45,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 q,181101_OPTION_13 r,True
2018-11-01,18:16:15,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 r,181101_OPTION_13 s,True
2018-11-01,18:17:00,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 s,181101_OPTION_13 t,True
2018-11-01,18:19:22,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 t,181101_OPTION_13 u,True
2018-11-01,18:21:58,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 u,181101_OPTION_13 v,True
2018-11-01,18:22:35,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 v,181101_OPTION_13 w,True
2018-11-01,18:22:53,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 w,181101_OPTION_13 x,True
2018-11-01,18:23:14,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 x,181101_OPTION_13 y,True
2018-11-01,18:23:56,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 y,181101_OPTION_13 z,True
2018-11-01,18:24:36,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_13 z,181101_OPTION_14,True
2018-11-01,18:25:30,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_14,181101_OPTION_15,True
2018-11-01,18:25:54,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_15,181101_OPTION_16,True
2018-11-01,18:26:36,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_16,181101_OPTION_17,True
2018-11-01,18:26:59,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_17,181101_OPTION_18,True
2018-11-01,18:27:21,wanrsqjwdptgkljcpwqu,2.1.0,181101_OPTION_18,,False
