Blocks-Create Design Option
Date,Time,User,Version
2019-05-01,10:11:52,pgmkdevbzsbsywpizfdw,2.1.0,190501_ TWIST _ INSIGHT 1
2019-05-01,10:12:45,pgmkdevbzsbsywpizfdw,2.1.0,190501_ TWIST MASSING
2019-05-07,14:15:14,pgmkdevbzsbsywpizfdw,2.1.0,190507_PODIUM AS
2019-05-08,15:34:41,pgmkdevbzsbsywpizfdw,2.1.0,context window 1
2019-05-08,15:39:24,pgmkdevbzsbsywpizfdw,2.1.0,context window 2
2019-05-08,16:23:00,pgmkdevbzsbsywpizfdw,2.1.0,41 W 57TH CONTEXT 58TH STREET 1
2019-05-09,11:24:09,pgmkdevbzsbsywpizfdw,2.1.0,190508_TRIPLEX 1
2019-05-09,11:25:49,pgmkdevbzsbsywpizfdw,2.1.0,TRIPLEX _ 61
2019-05-09,11:25:58,pgmkdevbzsbsywpizfdw,2.1.0,TRIPLEX _ 62
2019-05-09,11:26:04,pgmkdevbzsbsywpizfdw,2.1.0,TRIPLEX _ 63
2019-05-09,18:32:23,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 07
2019-05-09,18:32:35,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 08
2019-05-09,18:56:49,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 6 7 8
2019-05-09,19:06:14,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 6 7 8
2019-05-10,13:08:14,pgmkdevbzsbsywpizfdw,2.1.0,PODIUM PROGRAM
2019-05-10,16:47:49,pgmkdevbzsbsywpizfdw,2.1.0,LOBBY VESTIBULE
2019-05-10,19:01:05,pgmkdevbzsbsywpizfdw,2.1.0,STAIR 2
2019-05-10,19:12:38,pgmkdevbzsbsywpizfdw,2.1.0,ground level
2019-05-10,19:13:00,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 2
2019-05-10,19:13:09,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 3
2019-05-10,19:13:23,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 4
2019-05-10,19:13:32,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 5
2019-05-11,11:07:03,pgmkdevbzsbsywpizfdw,2.1.0,BENCH 1
2019-05-11,11:30:05,pgmkdevbzsbsywpizfdw,2.1.0,BRAIS STAIR HANDRAIL
2019-05-11,14:29:38,pgmkdevbzsbsywpizfdw,2.1.0,HOTEL RECEPTION
2019-05-11,15:02:11,pgmkdevbzsbsywpizfdw,2.1.0,pendant 1'4
2019-05-11,15:02:49,pgmkdevbzsbsywpizfdw,2.1.0,PENDANT 1'
2019-05-11,15:11:06,pgmkdevbzsbsywpizfdw,2.1.0,RECEPTION LIGHTS 1
2019-05-11,15:12:56,pgmkdevbzsbsywpizfdw,2.1.0,RECEPTION LIGHT 2
2019-05-11,19:26:28,pgmkdevbzsbsywpizfdw,2.1.0,BAR LIGHT 3
2019-05-11,19:43:29,pgmkdevbzsbsywpizfdw,2.1.0,BAR LIGHT 4
2019-05-11,22:46:51,pgmkdevbzsbsywpizfdw,2.1.0,190510 _ EVENT TERRACE
2019-05-11,22:50:52,pgmkdevbzsbsywpizfdw,2.1.0,190510 _EVEN TERRACE 1
2019-05-12,16:01:08,pgmkdevbzsbsywpizfdw,2.1.0,PODIUM FACADE
2019-05-12,16:33:08,pgmkdevbzsbsywpizfdw,2.1.0,REVOLVER
2019-05-12,17:11:10,pgmkdevbzsbsywpizfdw,2.1.0,190512 EVENT TERRACE
2019-05-12,18:23:59,pgmkdevbzsbsywpizfdw,2.1.0,LIGHTS LEVEL 01
2019-05-12,19:04:42,pgmkdevbzsbsywpizfdw,2.1.0,TYP LIGHTING
2019-05-12,23:46:40,pgmkdevbzsbsywpizfdw,2.1.0,190512 _ STAIR WITH CONCRETE BENCH
2019-05-12,23:53:49,pgmkdevbzsbsywpizfdw,2.1.0,190512 _ STAIR WITHOUT BENCH
2019-05-12,23:56:23,pgmkdevbzsbsywpizfdw,2.1.0,190511 _ ARCHIVE WALLS
2019-05-13,01:12:21,pgmkdevbzsbsywpizfdw,2.1.0,PLANT WALL
2019-05-13,12:39:02,pgmkdevbzsbsywpizfdw,2.1.0,LOBBY BENCH
2019-05-13,12:40:48,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 01 BAR LIGHTS 2
2019-05-13,12:41:33,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 01 BAR LIGHTS 2
2019-05-13,14:10:29,pgmkdevbzsbsywpizfdw,2.1.0,bar stools
2019-05-13,16:21:57,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 02 BAR
2019-05-13,16:33:36,pgmkdevbzsbsywpizfdw,2.1.0,BAR STOOL
2019-05-13,17:49:21,pgmkdevbzsbsywpizfdw,2.1.0,LEVEL 02 RECEPTION PENDANT
2019-05-13,18:41:40,pgmkdevbzsbsywpizfdw,2.1.0,CHAISE LOUGE
2019-05-13,23:10:31,pgmkdevbzsbsywpizfdw,2.1.0,roof deck plan
2019-05-13,23:27:59,pgmkdevbzsbsywpizfdw,2.1.0,glass doors
2019-05-13,23:35:31,pgmkdevbzsbsywpizfdw,2.1.0,DOUBL DOORS
2019-05-14,09:12:51,pgmkdevbzsbsywpizfdw,2.1.0,EVENT TERRACE STAIRS
2019-05-14,09:24:37,pgmkdevbzsbsywpizfdw,2.1.0,EVENT TERRACE POOL
2019-05-14,09:31:06,pgmkdevbzsbsywpizfdw,2.1.0,EVENT TERRACE _ SOFA
2019-05-14,10:01:47,pgmkdevbzsbsywpizfdw,2.1.0,terrace deck
2019-05-14,10:14:03,pgmkdevbzsbsywpizfdw,2.1.0,exterior terrace platform
2019-05-14,10:21:47,pgmkdevbzsbsywpizfdw,2.1.0,BURM
2019-05-14,11:03:22,pgmkdevbzsbsywpizfdw,2.1.0,LIGHT GRID
2019-05-14,17:59:53,pgmkdevbzsbsywpizfdw,2.1.0,UMBRELLAS
2019-05-14,18:08:41,pgmkdevbzsbsywpizfdw,2.1.0,SUNKEN TERRACE
2019-05-14,18:10:02,pgmkdevbzsbsywpizfdw,2.1.0,TERRACE TRELLIS'
2019-05-14,19:41:15,pgmkdevbzsbsywpizfdw,2.1.0,FIRE PIT
2019-05-14,20:12:58,pgmkdevbzsbsywpizfdw,2.1.0,OUTDOOR CHAIR
2019-05-14,20:24:01,pgmkdevbzsbsywpizfdw,2.1.0,TERRACE PEEL
2019-05-14,20:24:29,pgmkdevbzsbsywpizfdw,2.1.0,TERRACE SEATING OPTION 1
2019-05-14,20:40:23,pgmkdevbzsbsywpizfdw,2.1.0,TERRACE FURNITURE OPTION 2
2019-05-14,21:33:00,pgmkdevbzsbsywpizfdw,2.1.0,CORE EVENT TERRACE
2019-05-15,11:23:37,pgmkdevbzsbsywpizfdw,2.1.0,TREE PLANTER CLUSTER
2019-05-15,11:24:45,pgmkdevbzsbsywpizfdw,2.1.0,TREE PLANER CLUSTER
2019-05-15,13:47:05,pgmkdevbzsbsywpizfdw,2.1.0,SUNKEN TERRACE SEATING 1
2019-05-15,17:19:46,pgmkdevbzsbsywpizfdw,2.1.0,TULIP CHAIR TABLE
2019-05-15,17:28:43,pgmkdevbzsbsywpizfdw,2.1.0,tulip chair table
2019-05-15,17:35:18,pgmkdevbzsbsywpizfdw,2.1.0,tulip chair arranged
2019-05-15,19:21:16,pgmkdevbzsbsywpizfdw,2.1.0,TRIPLEX FACADE
2019-05-15,19:37:50,pgmkdevbzsbsywpizfdw,2.1.0,GENERIC STAIR
2019-05-15,19:59:55,pgmkdevbzsbsywpizfdw,2.1.0,STAIR
2019-05-15,21:38:50,pgmkdevbzsbsywpizfdw,2.1.0,63
2019-05-15,21:38:57,pgmkdevbzsbsywpizfdw,2.1.0,62
2019-05-15,21:39:07,pgmkdevbzsbsywpizfdw,2.1.0,61
2019-05-16,09:49:40,pgmkdevbzsbsywpizfdw,2.1.0,190516 _ NEW STAIR
2019-05-16,09:51:00,pgmkdevbzsbsywpizfdw,2.1.0,190516 stair new new
2019-05-29,10:30:56,nfniggtyhexwjbjeccpu,2.1.0,190529_OPTION_01
2019-05-30,15:55:31,nfniggtyhexwjbjeccpu,2.1.0,190530_Towers_01
