IO-BatchCapture
Date,Time,User,Version
2019-06-12,14:47:43,msfqsmhdjwhjdycivgic,2.1.1,Axon Diagram
2019-06-12,14:52:40,msfqsmhdjwhjdycivgic,2.1.1,Axon Diagram
2019-06-12,14:59:54,msfqsmhdjwhjdycivgic,2.1.1,Axon Diagram
2019-06-12,15:07:21,msfqsmhdjwhjdycivgic,2.1.1,Axon Diagram
2019-06-12,15:08:57,msfqsmhdjwhjdycivgic,2.1.1,Axon Diagram
2019-06-12,15:09:25,msfqsmhdjwhjdycivgic,2.1.1,Axon Diagram
2019-06-12,15:14:59,msfqsmhdjwhjdycivgic,2.1.1,Axon Diagram
2019-06-12,15:15:20,msfqsmhdjwhjdycivgic,2.1.1,Axon Diagram
2019-06-12,15:22:46,msfqsmhdjwhjdycivgic,2.1.1,Axon Diagram
2019-06-13,12:29:00,msfqsmhdjwhjdycivgic,2.1.1,54th St Perspective,54th Lobby Aerial
2019-06-13,12:30:56,msfqsmhdjwhjdycivgic,2.1.1,54th St Perspective,54th Lobby Aerial
2019-06-19,10:30:14,fsgxpmwwjxogdnviwnfc,2.1.1,V-00,v-01
2019-06-20,12:48:36,qgfxvvgwvnlleutljjmc,2.1.1,station lobby10-2
2019-06-20,12:54:16,qgfxvvgwvnlleutljjmc,2.1.1,station lobby10-2
2019-06-20,13:44:00,qgfxvvgwvnlleutljjmc,2.1.1,station lobby10-2
2019-06-20,13:46:55,qgfxvvgwvnlleutljjmc,2.1.1,station lobby10-2
2019-06-20,14:15:03,qgfxvvgwvnlleutljjmc,2.1.1,station lobby10-2
2019-06-20,14:17:37,qgfxvvgwvnlleutljjmc,2.1.1,station lobby10-2
2019-06-20,14:22:34,qgfxvvgwvnlleutljjmc,2.1.1,station lobby10-2
2019-06-20,14:25:12,qgfxvvgwvnlleutljjmc,2.1.1,station lobby10-2
2019-06-20,14:40:01,qgfxvvgwvnlleutljjmc,2.1.1,station lobby10-2
2019-06-20,14:47:32,qgfxvvgwvnlleutljjmc,2.1.1,station lobby10-2
2019-06-20,15:05:43,qgfxvvgwvnlleutljjmc,2.1.1,station lobby10-2
